SITE NAME,SITE LATITUDE,SITE LONGITUDE,SAMPLE ID,NUMBER IN COMPOSITE,SAMPLING LOCATION,INVERT ORDER RANK MIX,INVERT FAMILY RANK MIX,LOWEST TAXON RANK MIX,LIFE STAGE,TROPHIC GROUP,WHOLE BODY COMPOSITE MEHG NG/G DW,d13C,d15N,COLLECTION DATE,JULIAN DATE
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0438,22,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,112,-20.47,8.35,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0550,5,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,larvae,predator,150,-20.09,7.95,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0899,38,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,235,-20.98,8.06,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0879,17,Aquatic,Coleoptera,Gyrinidae,Gyrinidae,adult,predator,154,-21.59,8.97,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0555,4,Aquatic,Decapoda,Decapoda,Decapoda_crayfish,adult,predator,69.3,-20.77,10.57,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0520,7,Aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,larvae,non-predator,43.7,-17.39,9.26,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0442,22,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,35.4,-23.48,9.4,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0904,59,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,37.9,-19.5,10.39,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0448,30,Aquatic,Ephemeroptera,Leptohyphidae,Leptohyphidae,larvae,non-predator,85.1,-20.01,7.61,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0487,6,Aquatic,Ephemeroptera,Leptohyphidae,Leptohyphidae,larvae,non-predator,79.9,-22.23,7.77,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0341,15,Aquatic,Gastropod,Hydrobiidae,Hydrobiidae,adult,non-predator,112,-21.94,8.23,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0909,60,Aquatic,Gastropod,Hydrobiidae,Hydrobiidae,adult,non-predator,65.7,-23.14,8.57,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0884,51,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,128,-20.62,8.59,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0914,40,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,147,-21.75,9.37,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0608,170,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,0.551,-29.59,2.92,6/17/2013,168
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0674,61,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,1.61,-27.76,1.86,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0604,19,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,0.935,-28.64,-0.13,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0615,18,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,0.768,-30.29,0.81,6/17/2013,168
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0668,7,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_adult,adult,non-predator,2.91,-30.06,2.4,6/17/2013,168
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0894,5,Aquatic,Odonata,Aeshnidae,Aeshnidae,larvae,predator,204,-21.35,10.01,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0462,4,Aquatic,Odonata,Coenagrionidae,Coenagrionidae,larvae,predator,244,-20.48,9.84,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0501,2,Aquatic,Odonata,Gomphidae,Gomphidae,larvae,predator,108,-21.31,9.94,6/16/2013,167
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0625,2,Terrestrial,Opiliones,Opiliones,Opiliones,adult,predator,32.5,-25.89,5.48,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0617,2,Terrestrial,Orthoptera,Orthoptera,Orthoptera,adult,non-predator,1.49,-28.4,0.15,7/22/2013,203
Grand Island State Natural Area,45.10365003,-123.022104,13BUGS0535,7,Aquatic,Trichoptera,Glossosomatidae,Glossosomatidae,larvae and pupae,non-predator,11.3,-22.96,9.49,6/16/2013,167
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0528,11,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,45.5,-21.25,13.81,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0544,26,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,59.4,-19.79,14.29,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0824,74,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,69,-23.89,10.82,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0891,54,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,30.4,-25.33,7.81,7/12/2013,193
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0815,20,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,94,-21.57,14.19,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0877,8,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,142,-21.56,15.13,7/12/2013,193
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0790,15,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,14.5,-26.63,2.58,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0797,85,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,1.8,-28.92,5.21,7/12/2013,193
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0513,27,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,43,-19.31,14.06,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0581,36,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,71.4,-19.71,13.53,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0559,6,Aquatic,Coleoptera,Hydrophilidae,Hydrophilidae,adult,non-predator,63.7,-24.71,10.49,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0573,29,Aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,larvae,non-predator,22.7,-19.25,15.2,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0536,15,Aquatic,Ephemeroptera,Ephemeroptera composite,Ephemeroptera composite,larvae,non-predator,24.6,-19.81,13.04,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0548,65,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,17.6,-19.47,15.29,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0578,94,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,15.6,-20.03,14.04,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0539,33,Aquatic,Ephemeroptera,Leptohyphidae,Leptohyphidae,larvae,non-predator,25.3,-19.09,12.84,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0961,45,Aquatic,Ephemeroptera,Siphlonuridae,Siphlonuridae,larvae,non-predator,92.5,-23.37,13.52,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0587,10,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,55.3,-18.76,14.85,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0553,18,Aquatic,Hemiptera,Corixidae,Corixidae,adult,non-predator,129,-22.8,12.11,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0584,41,Aquatic,Hemiptera,Corixidae,Corixidae,adult,non-predator,78.4,-18.93,13.04,7/11/2013,192
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0820,16,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,0.762,-27.92,2.82,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0867,17,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,46,-27.13,1.95,7/12/2013,193
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0683,4,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,1.12,-30.01,2.07,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0917,6,Terrestrial,Opiliones,Opiliones,Opiliones,adult,predator,38,-24.67,9.31,7/12/2013,193
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0855,10,Terrestrial,Orthoptera,Orthoptera,Orthoptera,adult,non-predator,3.29,-28.42,5.97,7/12/2013,193
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0552,6,Aquatic,Plecoptera,Chloroperlidae,Chloroperlidae,larvae,predator,22,-19.19,14.59,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0576,2,Aquatic,Trichoptera,Limnephilidae,Limnephilidae,larvae,non-predator,24.8,-19.35,14.36,5/25/2013,145
Irish Bend County Park,44.3631088,-123.2203871,13BUGS0594,8,Aquatic,Trichoptera,Trichoptera composite,Trichoptera composite,larvae,non-predator,14,-20.03,16.22,7/11/2013,192
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0248,53,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,55.2,-20.7,15.24,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0275,22,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,88.1,-19.33,10.34,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0735,5,Terrestrial,Araneae,Salticidae,Salticidae,adult,predator,120,-24.35,9.18,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0720,36,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,30.4,-26.56,6.91,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0765,20,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,20.1,-25.94,6.19,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0922,14,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,42.5,-25.61,6.75,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0760,43,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,63.3,-22.14,9.29,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0907,14,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,92.8,-23.97,9.97,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0862,18,Terrestrial,Arthropod composite,Arthropod composite,Arthropod composite,adult,non-predator,23.5,-27.24,2.65,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0652,23,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,4.37,-26.73,4.69,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0763,24,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,5.1,-26.2,4.48,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0237,20,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,larvae,predator,160,-27.58,11.57,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0256,65,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,212,-24.91,9.94,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0925,33,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,122,-20.88,11.14,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0249,3,Aquatic,Coleoptera,Hydrophilidae,Hydrophilidae,adult,non-predator,50.5,-23.79,10.43,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0900,6,Aquatic,Coleoptera,Hydrophilidae,Hydrophilidae,adult,non-predator,66.5,-22.69,10.14,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0915,22,Aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,larvae,non-predator,43,-25.62,10.44,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0930,46,Aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,larvae,non-predator,12.1,-24.01,10.73,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0238,75,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,20,-23.17,12.11,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0304,25,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,51.6,-23.57,10.84,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0920,7,Aquatic,Ephemeroptera,Siphlonuridae,Siphlonuridae,larvae,non-predator,101,-30.75,10.95,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0244,26,Aquatic,Gastropod,Physidae,Physidae,adult,non-predator,111,-28.84,10.1,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0265,4,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,127,-22.89,11.02,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0910,24,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,88.8,-21.62,13.2,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0239,23,Aquatic,Hemiptera,Corixidae,Corixidae,adult,non-predator,120,-26.03,9.35,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0289,52,Aquatic,Hemiptera,Corixidae,Corixidae,adult,non-predator,174,-26.97,10.29,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0746,80,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,0.907,-27.14,3.15,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0749,50,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,0.902,-26.64,4.03,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0657,9,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_adult,adult,non-predator,5.47,-28.1,4.67,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0710,13,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,1.22,-27.81,4.79,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0756,5,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,1.15,-29.11,3.75,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0916,3,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,0.591,-28.26,1.29,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0895,3,Aquatic,Odonata,Aeshnidae,Aeshnidae,larvae,predator,203,-24.58,11,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0230,4,Aquatic,Odonata,Coenagrionidae,Coenagrionidae,larvae,predator,108,-25.13,11.51,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0890,5,Aquatic,Odonata,Gomphidae,Gomphidae,larvae,predator,111,-21.84,25,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0633,11,Terrestrial,Opiliones,Opiliones,Opiliones,adult,predator,20.9,-25.47,5.76,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0744,14,Terrestrial,Opiliones,Opiliones,Opiliones,adult,predator,13.9,-26.39,5.47,6/19/2013,170
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0767,27,Terrestrial,Orthoptera,Orthoptera,Orthoptera,adult,non-predator,1.36,-27.88,2.94,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0905,6,Aquatic,Plecoptera,Perlidae,Perlidae,larvae,predator,71.3,-23.1,12.89,7/23/2013,204
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0935,10,Aquatic,Plecoptera,Perlodidae,Perlodidae,larvae,predator,33.8,-22.31,11.64,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0234,6,Aquatic,Trichoptera,Hydropsychidae,Hydropsychidae,larvae,non-predator,47.9,-21.85,10.93,4/29/2013,119
Luckiamute North State Natural Area,44.74667818,-123.1397317,13BUGS0270,25,Aquatic,Trichoptera,Hydropsychidae,Hydropsychidae,larvae,non-predator,85.4,-20.1,10.47,7/23/2013,204
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0413,87,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,96.6,-20.4,12.88,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0870,84,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,32.7,-23.55,8.19,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0609,50,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,53.1,-24.54,6.99,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0762,70,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,35.2,-28.69,1.64,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0629,18,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,67.4,-23.01,9.47,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0748,40,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,43.2,-24.4,7.41,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0676,19,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,8.59,-25.05,0.54,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0714,45,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,1.19,-27.92,5.53,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0241,9,Aquatic,Coleoptera,Dytiscidae,Dytiscidae,adult,predator,44.4,-22.72,8.67,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0283,39,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,37.6,-22.42,9.66,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0282,12,Aquatic,Ephemeroptera,Leptohyphidae,Leptohyphidae,larvae,non-predator,92.1,-20.89,7.47,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0268,40,Aquatic,Ephemeroptera,Siphlonuridae,Siphlonuridae,larvae,non-predator,23,-24.23,9.82,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0322,12,Aquatic,Gastropod,Corbiculidae,Corbiculidae_Asian calm,adult,non-predator,127,-25.53,8.29,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0231,16,Aquatic,Gastropod,Hydrobiidae,Hydrobiidae,adult,non-predator,39.9,-24.75,8.76,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0295,11,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,70.2,-22.83,9.89,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0923,54,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,108,-21.8,9.98,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0686,82,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,1.54,-26.3,0.25,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0690,70,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,0.521,-28.67,2.41,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0641,20,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,1.61,-29.26,0.53,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0743,17,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,0.476,-30.5,4.81,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0928,6,Aquatic,Odonata,Gomphidae,Gomphidae,larvae,predator,119,-20.83,10.06,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0759,2,Terrestrial,Opiliones,Opiliones,Opiliones,adult,predator,6.83,-26.73,3.83,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0875,3,Aquatic,Plecoptera,Perlodidae,Perlodidae,larvae,predator,20,-21.94,10.16,5/26/2013,146
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0300,2,Aquatic,Trichoptera,Hydropsychidae,Hydropsychidae,larvae,non-predator,93.6,-19.97,7.81,7/18/2013,199
Spring Valley State Natural Area,45.06442205,-123.0681686,13BUGS0221,1,Aquatic,Trichoptera,Limnephilidae,Limnephilidae,larvae,non-predator,11.6,-24.73,6.82,7/18/2013,199
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0648,28,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,37.7,-22.7,12.23,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0631,62,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,41.2,-25.53,6.88,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0682,19,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,32.2,-26.41,3.66,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0323,5,Aquatic,Coleoptera,Gyrinidae,Gyrinidae,adult,predator,36.4,-24.36,8.62,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0880,57,Aquatic,Gastropod,Pleuroceridae,Pleuroceridae,adult,non-predator,80.2,-22.37,14.12,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0758,23,Terrestrial,Hemiptera,Hemiptera,Hemiptera,adult,non-predator,3.76,-27.18,3.85,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0697,10,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_larvae,larvae,non-predator,0.606,-28.69,1.84,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0712,10,Terrestrial,Lepidoptera,Lepidoptera,Lepidoptera_adult,adult,non-predator,16.9,-24.71,11.01,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0303,22,Aquatic,Trichoptera,Glossosomatidae,Glossosomatidae,larvae and pupae,non-predator,6.04,-23.33,11.39,5/17/2013,137
Takena Landing City Park,44.64291165,-123.0916012,13BUGS0222,1,Aquatic,Trichoptera,Limnephilidae,Limnephilidae,larvae,non-predator,8.1,-26.02,5.42,5/17/2013,137
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0546,18,Aquatic,Amphipoda,Amphipoda,Amphipoda,adult,non-predator,38.7,-23.04,7.09,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0698,92,Terrestrial,Araneae,Spider composite,Spider composite,adult,predator,31.6,-26.17,5.04,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0708,4,Terrestrial,Araneae,Tetragnathidae,Tetragnathidae,adult,predator,109,-22.45,7.46,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0718,26,Terrestrial,Coleoptera,Coleoptera,Coleoptera,adult,non-predator,1.34,-27.57,2.11,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0575,34,Aquatic,Ephemeroptera,Ephemerellidae,Ephemerellidae,larvae,non-predator,14.1,-19.83,6.43,7/2/2013,183
Willamette Mission State Park,45.07248385,-123.0652615,13BUGS0533,74,Aquatic,Ephemeroptera,Heptageniidae,Heptageniidae,larvae,non-predator,12.8,-20.15,6.92,7/2/2013,183
